ordinal,frame_key,split,source,why,status,in_manifest,settled_reference,settled_adjudication,primary_raters,allocation,allocation_g384
267,6355816e103ceb0c623b2695971caa778054b7edbb94c71388543d442b42eb9e,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
268,700e6aa694bba2dc7aeb4529c463dcb4f4e9a56ac4e1205821e2b52c82a05096,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
269,63b3b82354a0f12afac8c71ba2083b3ae0d6638094338a3434ac42e5718ebc03,development,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
270,70e494b21995e75785c69eeebe42d8553639a3f32eebb734a022f10959e940f4,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
271,64b97f92e69247b7a4ce4314e114784943bb9d5ac46fa740e681f1d624124191,development,sealed,LABEL-DISAGREEMENT,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
272,7103bd5e7dc79ca3e7f68d410e84c3abf20cba98a32b1aec25261092f07a0cf9,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
273,65efed56fbe2179ab44fd671b5583580a7b27bffa283e9d592f2519cc66923af,development,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
274,712b543a733ed4d91c0b827b3de5fee8bd8f2b27d8efeabfb5e73fcd11594835,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
275,6613b7a9b76fcff763047af30180973b833959066fd5434cf9fa049d998d602f,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
276,72fdd09e64a899a0c7f4b80d077693ac17a3c043c7e2ab6f25cebfe57c0fc2d0,heldout,sealed,LABEL-DISAGREEMENT,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
277,6679856f073c073940a82b5df8553a3643f59368fc595e9330263a7bd2540048,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
278,779d823c6747f97f30dbdc10ec8a9bd00ff91c00139acdc85d20138d88ce3baf,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
279,66f95c9da73da975684ff915d7af4343ad76e0fc2e1b568221aa79a84e3e9f43,development,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
280,78c1ebe2dc5f1a72164bec33fc0c97dacceff477384d2e7f4d37c1ded520d147,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
281,68db51861b834a46b3eca24c56614a3d977ac2ff1be4802df89a218682a03346,development,extra,LABEL-DISAGREEMENT,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
282,793ae92955816d2ffe6e7238cdeaba6e08acea023b3540b42ae9aa024a357073,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
283,690a03e2b14efb66b1d688d53241fec2b948ab1cb19ac9c3fdea18887a86d4bb,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
284,7d91f76d5af8a7051375460ef2c8114d5a8b8785916c3cd052faf475fe599afc,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
285,69c8d65657470a90320bf75ef1a4354f5d8ea2de7cd2eeb18ce94deaf36c6e7e,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
286,8168d1d83bea6b28537f382ddfe06c812f42971f5661647e8d9b299d22183251,heldout,sealed,CENTRE-GAP,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
287,6a1479e9e4e22332cda67c6a0e64e28445aaf00db3863d131c2558b1a5ba3d45,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
288,82fbbc268e44bafcf5363d701f43b75fc70ddfb804314586a64323bad9b07a9e,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
289,6a6248beb18152cb5364ae41b3cebfdf880dfcba5a1e0102e534c49edc23ab96,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
290,83048a796e3367c151899264bb8d4a03851209931e0e34da7ce21dba41349b90,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
291,6aa27e4930c2aeeb81bbf72101d99c9768ebb417c7bd2dc7210024a12aa3ece9,development,extra,CENTRE-GAP,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
292,831ec00d02dfe5881fde406d7143b2c5993b956357e391e7d2b24d277806fa22,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
293,6b4ce5ad7263ecbc75b1dfdd91cf8139feb690749b8a8b67f393f172c680223c,development,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
294,877154041e4d137235a64bf2cfc886112b9d7acf53745c34d65266eb8dc09bd5,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
295,6cb85a29d283a18e01c4ddb2cd9ab27040a700a6d808971a1d21e26f4f72fa89,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
296,87e899b0a0313af2eb471f4026a341d4744a1f3fc564c98e84f94cd8ff50b8e7,heldout,sealed,CENTRE-GAP,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
297,6d75621d11cdcb03d8e88f40c4435707e05225ca49a948284ab190bb2f1ea082,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
298,89b4f8ed448c865dcda2a730ea3cf22c9221a1175a09cf6c4de184b988a2bd89,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
299,6ea733bc62553892f9f58bb305267994d1d64625eb6f8409d324cfe5617e0596,development,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
300,8b2d24c1bd75b4ec6813145e25619a689d560780c87b6a793a869559e027073a,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
301,6eeddd8f17506e7b27834807a8b0baa9ff74b6583041ce5280b041dc15988882,development,extra,CENTRE-GAP,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
302,8c364576216e062ae80d7dc44545f90fb9c96f55698c6ba3bdd9b5843e975ed1,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
303,6f6d7c2df9aefa1e8084ea92d6055f567678cc19f3be21b4389e91e409088151,development,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
304,8c596a426560b8676b573b19bfcb2425c3b0189835703260e6e7d6a12ece4e2a,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
305,6f9dd93328d7fb3f12bf41e1b26a21f369462e3aaa1789c41284ed3e6c6e1b44,development,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
306,8d4631207aa624276d7d7f682e9fbe9740585c8a2b39fee7eb2ab34fd18b1cf8,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
307,6fb1ee4d77f16071e4b16f0271e0d4cd9a39d403043d0b6403d14df7208765c0,development,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
308,8eaa76587cb161a74b611168e90626963c5a629290f5b0979e635b6e6525d378,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
309,6fcf278b16033b938a8444e26794ffff2e5231dd22080a7deda9a97c2ebda398,development,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
310,8f745c2bbdd6d80498297e647eb691a8b9e87a80b9b97632edb0fdce66ac06e0,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
311,6fda11eb77b6d356db6cdb7fc50d5a18cca57dd06d33dfeff6b45a6cf9c767aa,development,extra,LABEL-DISAGREEMENT,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
312,91237c714d311e4b716de96beedb2ee2da3bb41ea73a5ea15ed68175697e3622,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
313,6fe274c47d1e9fe3ce8f5f7ac2da38badcc9bb0eb295c2bb10bdfd5ff1f8ba27,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
314,91472eb3a6244434131930847469dbc873a1f11412a2a137fc5c8e262485240b,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
315,719900eee66c2050e5f49731a1bae05e30c5651ac033cc635896343b3dad626b,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
316,918f12e96516f2d52f3a4b88f0ab8846a71ca4e7e3deec9fa422a0d888934753,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
317,727f2ccde3f0ae050d7f86b7637a2cc26bdb615c699a999daff9006d0c7ca7f9,development,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
318,95a0ce7b95876ad2a4d58556798b5b5af68f384a74d886cde957ac64939a8cc0,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
319,730c27852a70c0f919f50dd34294d1c52e47a7b2e64f4f0b68a6122ba7a6ab26,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
320,9654729789be2f7d2df4f8409e9824e820ce337d4ab537a59e3c1f97f5991012,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
321,73787809c7c4a8c3ce994480c214f4221aff009d34f00ae0e1e97717532ed432,development,sealed,CENTRE-GAP,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
322,96bef25962ec6ad0102df132db9be9d9b96a38d4a325236dd5485b153b8b372e,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
323,737c1d5502b5460479290270e1edd7c2c40313b99d30ca3a816fd98efa5e68c4,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
324,97b0f9504773181b12c920ba3b1b1c0e2349fc5526f283e90be4c1fe9b69917f,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
325,738b8e170bb373b22eaacef20dc1c172db25db9b78c3f7d917840b408c7005e0,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
326,97d09f6e918233c8dfa0abf95226ce4b0e9b5b0232b5b0bbf2a926daf9a029c7,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
327,73f850d90cb72fdb318fafe8653c4be5daa374a1016c8a8204f54f56e14b3a33,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
328,98bae19d49ab1b1daf5363ed409f57e0b3d6dbbe82906b7d570a5f6fc062ecb1,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
329,7425bd4ef81c68e48328dbc88d59153d747f31e8f38d74c7e7ce5ffb9cc93d8d,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
330,98fd5ff88f79649a6fe17e13eda946c352892597e832581b1c8c18b2a554a23d,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
331,7454f6240515e193688ac25cc3878dfcb701670aa11fa93d573dd24bc6a58531,development,extra,LABEL-DISAGREEMENT,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
332,9a228ea59ee671a3df1c0c0d6424d09d22291c6c6cb56defd497b902f1831383,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
333,748ad8b5bcfb830d91434d7be35cd0141c7e6112fbd645cb24b9d8145325d2c8,development,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
334,9a98b3eb9ad17c060e332c6faf9f0496a06ca012588a532ace89143a8deccc6b,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
335,7691b236d8526bc570e5ff879031fce2c283bb3b50ac74844d4db2bee2afac12,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
336,a0545d1e9dbbea7e2642da4c94b427005fa1af700020ad1205449442406313c4,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
337,76d829c36fb38249a4a351194cc548e43eeae15c03c9a8162ddaa8eed47ca739,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
338,a2e2075549febda5567a7e5d7c454afe9897d3a72f0541825899b63de48664f8,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
339,7723df499d48da5900ec7c5e5582ee2f872c602455750840bc55e031ca1a7608,development,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
340,a45b83a13ce2a68bc5d60e23aeda2e7b1cfc0df45619f65f4cc9846a44971acf,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
341,782cd096c79ce0124a3dbbbb88b1a5d9801aeb43f55f435bb16164347ec2065d,development,extra,LABEL-DISAGREEMENT,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
342,a682f2f0e1f494a797162098be5f659f09ffde60adfe739c080e6101731c6e0d,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
343,79c83579594353a96af5ac22ce9dcbae396f715ea6a0546ff0fc1afeb92d500d,development,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
344,a7025315194d1fbbe984cf84095df51739fabb70710850e1f4972b6a77eed975,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
345,7a5519b3683d493279dffd3b2368e275ba904e52998ba3d7103fa09d9b174be9,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
346,a77de0779abafb5ce70dba85a83170c17bbb4b4b3237f1d56ed35cbedb798df5,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
347,7a77ec659be073fb416f9a55a0d02d91e305815fa40f3412bb561bea897ba90b,development,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
348,a7a44c71744c91a886460f3901f06f6c13a383869cf154a0c40fa5536bba5c1a,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
349,7c38e9a68ae4466a3a3f947f7aa1f6de70fce0e80057bb67068ba7a987e340be,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
350,aac1ae55830894f5bebfac48d529381e965ce0484192e19d712e866553f279a2,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
351,7ca0d220a93be3dc20606d84aa657d63984eccb96741f12370a0ceadf748b787,development,sealed,LABEL-DISAGREEMENT,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
352,ac19abac83a32f840d6658fba73c7b945f82d6c31e20ff0f3b661c429b01edf9,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
353,7cb042e3cc028e947cd3c380ff55dc052a1e49a285c49cc2a5818cba561b8727,development,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
354,adfe897bd5b6a32ab89286f2d6e60e86feb4f7b0e64d41e715d43e21dc8bd954,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
355,7fc87220c35280d26f8d711656eb4df34f2b601bfcdc5158a76fe901f1a8e398,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
356,b255be247dea55232bc0606c2012271c1c1cb886b43bb5beb14089f90abd37bf,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
357,80ba95dba40b40e4ca1623c12a3c39256d4c3231d66d6b5672632cc82098ed24,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
358,b264cffd139ad025805e92c60eefcbbd45708fe59a50f29f40f4da32b464b8b7,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
359,81873f75ec75df73958dedc3a36ef5f92e8e1e770870ae26bfdbf72d2f376dc7,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
360,b269053e49ec9b387d5de45db8143142eca8cb0ffb842e4a20495cf0d5e77069,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
361,821d25c767cb4ada985469b30524c5ae8a138e729990ff6e6f04dc6d7d459a19,development,extra,LABEL-DISAGREEMENT,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
362,b341fdd285693c9916e1beaea19625431cae32a94842e8501f56b64cbfde8c8f,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
363,82c470d699956c885fe6f200926b670df97dad40b19613843cfc29b73a5fbc70,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
364,b3851928e652b8d4cafd9cef64c210bae068adbccdeb63b86436fda1c92b8660,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
365,82ca705caaffafbfbde713d6bf1cb30ac2114267a4aa3ac1583017a7bd6cd795,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
366,b46d16a16c713c1a93c3009b7aa8cd69aefe9eb465030d9e30f27fe2576da6c7,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
367,83290a1a5b174292eddcc46f2b8e0f4c68d79c88a584833ade464e5582a20950,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
368,b6478b24d22284a33fa2e084ca4b2b92ad795abd7a32e6475f3295368112799f,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
369,839db258cd89c74955aa838f19d61d0de1412c5caacde5aa827f688bdb6c70ff,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
370,b716e12e42a764637e3398a5d33153cd8133d4532da6039e2fa5adf783802d04,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
371,841406dea175fadeafa282e4a46ab01c22f30793c201c2c42442b5e9fa07c01a,development,extra,CENTRE-GAP,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
372,b8556e868f732cc5d70d9c5371e7a9e0a8b56a95b9659e3edb33fe1da5bd7246,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
373,852d06bee969ba6c5e5a15a39b087825591a97ee1dac2de00f0fbf8d63337ab3,development,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
374,b91495e194056e3578100f3bb5b831ce72f661d4126fed9b0fb82d189b3da927,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
375,85597a5e8bf84c4e99fc09019eaa3af4712cc575a5b5fe507a837000c06b34c7,development,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
376,ba0cc82a3fe4304cf23eb9b24a9da7d36dac016ca416f4afac57d6d468a8f0c1,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
377,857d01dfed9f343348d633f45ad158d6fd4b6cfb1748f8db6b0613dd44bdfa67,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
378,ba9c0b904e8171f4134c59b7fee28daa443976ce8cac81f285844d4d70d6d696,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
379,8684ac24673bc0956e06bedea7df176aed54646629e2babf8223438a25655089,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
380,bc77f4a2b217155434b683cc98bb534490a213d5e4bf7100586f7c778b41f540,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
381,86d64ffa5f682f0bbe49b7ae6df4c540a94e4602e960ce9127c2558b5931c3d1,development,extra,LABEL-DISAGREEMENT,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
382,bea639731fa94154f1208b6c86e2eea8e2a5ce2f7fa050cd7c6c8ba742283db0,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
383,874b0ce2aba3ff14d775e032c4bd5818c6bb09d652352ad48b283e82e50e2ff7,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
384,befc9d17fba77b3a3f20a028b72cb3bd4c023437df3e89cec53b137e2ae71d4c,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
385,89dd8715dd8a53230e612760e0e9faaa294f4cf71a215a36fcbd0e8f14505647,development,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
386,bf2251ab8fae16353a7237f24c3b628d2be82819a703c90e84fd682dc5d4d32f,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
387,8a2212748632966926bdb8aa1f2840da60419430f33ac0a187a6dc95ee31c422,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
388,bf661bdb958235995b9bc4f4c5137dfb29c1a3f5d720f4fd581015db775cf124,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
389,8a31130a612bf0911742c50ed2c50f3bd75d2784fed55be85b52f477828eb7de,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
390,c09e17b5ace9e2bfc121561c1b8c809ed858dc1afa99ea2c2e1111d0d6ec2ce8,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
391,8a71ecf43fd98056aa4c7051593402c5045349b8f50cd71fc9e865561945dfc0,development,extra,CENTRE-GAP,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
392,c132da3e321d975c9f0e54dc4a04e319df17332e74c44876dd896bdb7605e1d9,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
393,8a759db21e22d9b46c4257aa6dda0e6e16a6191c1a5ccb5d36ba28bdfddbae95,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
394,c1bbbb7f318c63fb7fd810608e2115f29fb2f75ab2b2b25205b44f0595e07289,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
395,8afdb97e4ed4975c13366c296f32940f37b56c5860c92d3b561e7621c9950f80,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
396,c23aaae11919107b8cb0e9f971a67c897c2378b5701672a0679066d73a4c64a6,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
397,8b5dddd197b26820d699f81a375ba72783e2d25868bc07cc672e934ae5ac08f2,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
398,c504b83daebade3fce04c2952e811c49fbb588922a51779b229b1ed5f411d155,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
